Type,Name,Size,Shape,Data Type,Exception,Comment,AcqStamp
GROUP,AwakeEventData,190members,,,,,
GROUP,AwakeEventData/AIRTR01,1members,,,,,
GROUP,AwakeEventData/AIRTR01/Acq,1members,,,,,
DATASET,AwakeEventData/AIRTR01/Acq/numericPosition,1,"(1,)",float32,False,b'Marker laser delay stage in mm',1541962118465071000
GROUP,AwakeEventData/AIRTR02,1members,,,,,
GROUP,AwakeEventData/AIRTR02/Acq,1members,,,,,
DATASET,AwakeEventData/AIRTR02/Acq/numericPosition,1,"(1,)",float32,False,b'Linear Translator in TCV4',1541962118465071000
GROUP,AwakeEventData/AWAKEInjPhaseShifter,1members,,,,,
GROUP,AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback,1members,,,,,
DATASET,AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback/phaseACurrentValue,1,"(1,)",float32,False,b'SPS-AWAKE RF phase',1541962109401000000
GROUP,AwakeEventData/BLMITT41,1members,,,,,
GROUP,AwakeEventData/BLMITT41/Acquisition,21members,,,False,b'Beam loss',1541962114533000000
DATASET,AwakeEventData/BLMITT41/Acquisition/acqDesc,1,"(1,)",bytes8,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/acqMsg,1,"(1,)",bytes8,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/acqState,1,"(1,)",int32,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/acqTime,1,"(1,)",int32,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/alarmStatus,40,"(40,)",int16,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/blrSignalStatus,40,"(40,)",int16,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/calLosses,40,"(40,)",float32,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/calLosses_unit,1,"(1,)",bytes32,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/calLosses_unitExponent,1,"(1,)",int32,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/calThresholds,40,"(40,)",float32,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/channelNames,15,"(15,)",bytes120,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/deviceName,1,"(1,)",bytes40,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/enableExtFlagBIC,2,"(2,)",int32,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/measStamp,1,"(1,)",int32,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/nbOfChannels,1,"(1,)",int32,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/nbOfMeas,1,"(1,)",int32,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/normLosses,40,"(40,)",float32,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/observables,1,"(1,)",int32,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/rawLosses,40,"(40,)",int16,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/superCycleNb,1,"(1,)",int32,,,
DATASET,AwakeEventData/BLMITT41/Acquisition/totalGains,5,"(5,)",int32,,,
GROUP,AwakeEventData/BOVWA.01TCC4.AWAKECAM01,2members,,,,,
GROUP,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,21members,,,False,b'Spectrometer background camera',1541962114489439492
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamIntensity,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogX,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogY,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/height,1,"(1,)",int32,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjSigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjection,2048,"(2048,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageRawData,2211840,"(1080, 2048)",int16,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageTimeStamp,1,"(1,)",int64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityHistogram,1000,"(1000,)",int32,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityRMS,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensitySigma,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/pixelSize,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAmp,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAvg,1,"(1,)",float64,,,
DATASET,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjSigma,1,"(1,)",float64,,,
